llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
91652205102.0,91652205,916522051,9,9,57,1,Hombre,4.0,2,No tiene discapacidad,1,3.0,0.0,0.0,0.0,3.0,0.0,35.0,0.0,3918,1,0,0,0,1,0,1,0,1,3.0,35.0,1,1
91899403102.0,91899403,918994031,9,9,72,2,Mujer,4.0,2,No tiene discapacidad,1,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,3372,1,0,0,0,0,1,1,0,1,1.0,50.0,1,1
90875605101.0,90875605,908756051,9,9,32,1,Hombre,3.0,2,No tiene discapacidad,1,30.0,0.0,8.5,7.5,14.0,0.0,50.0,0.0,4067,1,0,1,1,1,0,1,0,1,30.0,50.0,1,1
90875605102.0,90875605,908756051,9,9,34,2,Mujer,4.0,2,No tiene discapacidad,5,58.08333333333333,0.0,26.33333333333333,27.0,4.75,0.0,0.0,0.0,3952,1,0,1,1,1,0,0,0,1,58.08333333333333,0.0,0,0
90879901101.0,90879901,908799011,9,9,77,1,Hombre,2.0,2,No tiene discapacidad,5,12.33333333333333,0.0,0.0,0.0,0.0,12.33333333333333,0.0,0.0,3814,1,0,0,0,0,1,0,0,1,12.33333333333333,0.0,0,0
90879902101.0,90879902,908799021,9,9,38,1,Hombre,3.0,2,No tiene discapacidad,1,3.08333333333333,0.0,0.0,0.0,3.08333333333333,0.0,0.0,0.0,3748,1,0,0,0,1,0,0,0,1,3.08333333333333,0.0,0,0
90349302105.0,90349302,903493021,9,9,17,2,Mujer,3.0,2,No tiene discapacidad,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4080,1,1,0,0,0,0,0,0,1,1.0,0.0,0,0
90349304101.0,90349304,903493041,9,9,37,2,Mujer,3.0,2,No tiene discapacidad,1,15.83333333333333,0.0,0.0,15.83333333333333,0.0,0.0,48.0,0.0,4009,1,0,0,1,0,0,1,0,1,15.83333333333333,48.0,1,1
90349304102.0,90349304,903493041,9,9,16,1,Hombre,2.0,2,No tiene discapacidad,1,4.0,0.0,0.0,4.0,0.0,0.0,48.0,0.0,4094,1,0,0,1,0,0,1,0,1,4.0,48.0,1,1
90359501101.0,90359501,903595011,9,9,58,1,Hombre,2.0,2,No tiene discapacidad,1,6.0,0.0,4.0,0.0,2.0,0.0,30.0,0.0,4563,1,0,1,0,1,0,1,0,1,6.0,30.0,1,1
